iter	Passed	Remaining
0	1	183
1	3	160
2	4	155
3	5	139
4	7	137
5	8	140
6	10	141
7	12	140
8	13	140
9	15	141
10	17	142
11	19	140
12	20	138
13	22	138
14	24	137
15	25	135
16	27	133
17	28	131
18	30	130
19	32	128
20	33	127
21	35	126
22	37	125
23	39	124
24	40	122
25	42	120
26	44	119
27	45	117
28	47	116
29	49	115
30	51	114
31	52	112
32	54	110
33	56	109
34	57	107
35	59	105
36	61	104
37	63	104
38	65	102
39	67	100
40	68	98
41	69	95
42	71	94
43	72	92
44	74	90
45	76	89
46	78	87
47	79	86
48	81	84
49	82	82
50	84	81
51	86	79
52	87	77
53	89	76
54	90	74
55	92	72
56	93	70
57	95	69
58	97	67
59	99	66
60	101	64
61	102	62
62	104	61
63	106	60
64	108	58
65	110	56
66	111	55
67	113	53
68	115	51
69	116	49
70	117	48
71	119	46
72	120	44
73	122	43
74	124	41
75	126	39
76	127	38
77	129	36
78	130	34
79	132	33
80	134	31
81	135	29
82	137	28
83	138	26
84	139	24
85	141	22
86	142	21
87	143	19
88	145	17
89	147	16
90	148	14
91	150	13
92	152	11
93	154	9
94	156	8
95	158	6
96	159	4
97	161	3
98	163	1
99	165	0
