iter	Passed	Remaining
0	154	154297
1	155	77645
2	157	52223
3	158	39416
4	159	31685
5	160	26530
6	161	22876
7	162	20148
8	163	17974
9	163	16230
10	164	14804
11	165	13609
12	166	12608
13	166	11739
14	167	10989
15	168	10336
16	168	9770
17	170	9278
18	170	8822
19	171	8413
20	172	8038
21	173	7696
22	173	7384
23	174	7095
24	175	6833
25	175	6588
26	176	6360
27	177	6149
28	177	5958
29	178	5775
30	179	5606
31	180	5447
32	180	5294
33	181	5156
34	182	5021
35	182	4894
36	183	4778
37	184	4669
38	185	4561
39	185	4461
40	186	4365
41	187	4272
42	188	4184
43	188	4101
44	189	4018
45	190	3941
46	190	3869
47	191	3797
48	192	3730
49	193	3667
50	193	3603
51	194	3541
52	195	3484
53	195	3427
54	196	3372
55	196	3319
56	198	3278
57	199	3232
58	199	3187
59	200	3142
60	201	3099
61	202	3056
62	202	3014
63	203	2973
64	204	2936
65	204	2899
66	205	2862
67	206	2826
68	206	2791
69	207	2757
70	208	2724
71	208	2692
72	209	2660
73	210	2630
74	210	2601
75	211	2573
76	212	2547
77	213	2520
78	213	2494
79	214	2467
80	215	2442
81	216	2418
82	216	2390
83	217	2366
84	217	2344
85	218	2321
86	219	2299
87	219	2277
88	220	2257
89	221	2236
90	221	2216
91	222	2196
92	223	2177
93	223	2158
94	224	2140
95	225	2122
96	226	2104
97	226	2087
98	227	2071
99	228	2054
100	229	2038
101	229	2023
102	230	2007
103	231	1991
104	231	1976
105	232	1961
106	233	1946
107	233	1932
108	234	1918
109	235	1904
110	236	1890
111	236	1876
112	237	1862
113	237	1849
114	238	1836
115	239	1823
116	239	1810
117	240	1799
118	241	1787
119	242	1775
120	242	1764
121	243	1754
122	244	1742
123	245	1731
124	245	1720
125	246	1709
126	247	1698
127	248	1691
128	248	1680
129	249	1670
130	250	1660
131	250	1650
132	251	1640
133	252	1631
134	253	1621
135	253	1611
136	254	1602
137	255	1593
138	255	1585
139	256	1576
140	257	1568
141	257	1558
142	258	1550
143	259	1542
144	260	1533
145	260	1525
146	261	1518
147	262	1509
148	263	1502
149	263	1494
150	264	1486
151	265	1478
152	265	1472
153	266	1464
154	267	1457
155	268	1450
156	268	1443
157	269	1437
158	270	1430
159	271	1423
160	271	1414
161	272	1407
162	272	1401
163	273	1394
164	274	1387
165	274	1381
166	275	1374
167	276	1367
168	276	1361
169	277	1354
170	278	1348
171	278	1342
172	279	1335
173	280	1329
174	280	1323
175	281	1317
176	282	1311
177	282	1305
178	283	1299
179	284	1294
180	284	1289
181	285	1283
182	286	1278
183	287	1273
184	287	1267
185	288	1261
186	289	1256
187	289	1251
188	290	1246
189	291	1240
190	291	1236
191	292	1231
192	293	1225
193	293	1220
194	294	1215
195	295	1211
196	295	1206
197	296	1201
198	297	1196
199	297	1191
200	298	1186
201	299	1182
202	300	1178
203	300	1173
204	301	1168
205	302	1164
206	302	1159
207	303	1155
208	303	1150
209	304	1145
210	305	1141
211	305	1136
212	306	1132
213	307	1128
214	307	1124
215	308	1120
216	309	1116
217	310	1112
218	310	1108
219	311	1104
220	312	1100
221	313	1097
222	313	1093
223	314	1089
224	315	1085
225	315	1081
226	316	1078
227	317	1074
228	317	1070
229	318	1066
230	319	1062
231	319	1058
232	320	1054
233	320	1050
234	321	1046
235	322	1043
236	322	1039
237	323	1035
238	324	1032
239	324	1028
240	325	1025
241	326	1021
242	326	1017
243	327	1014
244	328	1011
245	328	1007
246	329	1004
247	330	1001
248	330	998
249	331	994
250	332	991
251	332	987
252	333	984
253	333	980
254	334	977
255	335	974
256	336	972
257	337	970
258	338	967
259	338	964
260	339	961
261	340	958
262	340	954
263	341	951
264	342	950
265	343	947
266	344	944
267	344	941
268	345	938
269	346	935
270	346	932
271	347	929
272	348	928
273	349	925
274	349	922
275	350	919
276	351	916
277	351	913
278	352	910
279	353	907
280	353	905
281	354	902
282	354	899
283	355	896
284	356	893
285	357	891
286	357	888
287	358	886
288	359	883
289	359	880
290	360	878
291	361	875
292	361	873
293	362	870
294	363	867
295	363	865
296	364	862
297	365	860
298	365	857
299	366	855
300	367	852
301	367	850
302	368	847
303	369	844
304	369	842
305	370	840
306	371	838
307	372	835
308	372	833
309	373	831
310	374	828
311	374	826
312	375	823
313	376	821
314	376	819
315	377	816
316	378	814
317	378	812
318	379	809
319	379	807
320	380	805
321	381	802
322	381	800
323	382	798
324	383	795
325	384	794
326	384	792
327	385	789
328	386	787
329	387	785
330	387	783
331	388	781
332	388	779
333	389	776
334	390	774
335	390	772
336	391	770
337	392	768
338	392	765
339	393	763
340	394	761
341	394	759
342	395	757
343	396	755
344	396	753
345	397	751
346	397	748
347	398	746
348	399	744
349	399	742
350	400	740
351	401	738
352	401	736
353	402	734
354	403	732
355	403	730
356	404	728
357	404	726
358	405	724
359	406	722
360	406	720
361	407	718
362	408	716
363	408	714
364	409	712
365	410	710
366	410	708
367	411	706
368	412	704
369	412	702
370	413	700
371	414	699
372	414	697
373	415	695
374	416	693
375	416	691
376	417	689
377	417	687
378	418	686
379	419	684
380	420	682
381	420	680
382	421	678
383	421	676
384	422	674
385	423	673
386	423	671
387	424	669
388	425	667
389	425	665
390	426	664
391	427	662
392	427	660
393	428	659
394	429	657
395	429	655
396	430	653
397	431	652
398	431	650
399	432	648
400	433	647
401	433	645
402	434	643
403	435	641
404	435	640
405	436	638
406	437	636
407	437	634
408	438	633
409	438	631
410	439	629
411	440	628
412	440	626
413	441	624
414	442	623
415	442	621
416	443	619
417	443	618
418	444	616
419	445	614
420	445	613
421	446	611
422	447	609
423	447	608
424	448	606
425	448	604
426	449	603
427	450	601
428	450	600
429	451	598
430	452	596
431	452	595
432	453	593
433	454	592
434	454	590
435	455	589
436	456	587
437	456	586
438	457	584
439	458	583
440	458	581
441	459	579
442	460	578
443	460	576
444	461	575
445	461	573
446	462	572
447	463	570
448	463	569
449	464	567
450	465	566
451	465	564
452	466	563
453	466	561
454	467	560
455	468	558
456	469	557
457	469	555
458	470	554
459	470	552
460	471	551
461	472	549
462	472	548
463	473	546
464	474	545
465	474	544
466	475	542
467	476	541
468	476	539
469	477	538
470	477	536
471	478	535
472	479	533
473	479	532
474	480	530
475	481	529
476	481	528
477	482	526
478	482	525
479	483	523
480	484	522
481	484	521
482	485	519
483	486	518
484	487	517
485	487	515
486	488	514
487	489	513
488	489	511
489	490	510
490	490	508
491	491	507
492	492	506
493	492	504
494	493	503
495	494	502
496	494	500
497	495	499
498	496	498
499	496	496
500	497	495
501	498	494
502	498	492
503	499	491
504	499	490
505	500	488
506	501	487
507	502	486
508	502	484
509	503	483
510	503	482
511	504	480
512	505	479
513	505	478
514	506	477
515	507	475
516	507	474
517	508	473
518	509	471
519	509	470
520	510	469
521	511	467
522	511	466
523	512	465
524	512	464
525	513	462
526	514	461
527	514	460
528	515	458
529	516	457
530	516	456
531	517	455
532	518	453
533	518	452
534	519	451
535	519	450
536	520	448
537	521	447
538	521	446
539	522	444
540	523	443
541	523	442
542	524	441
543	524	440
544	525	438
545	526	437
546	526	436
547	527	435
548	528	433
549	528	432
550	529	431
551	530	430
552	531	429
553	531	428
554	532	426
555	532	425
556	533	424
557	534	423
558	534	422
559	535	420
560	536	419
561	537	418
562	537	417
563	538	416
564	539	415
565	539	413
566	540	412
567	541	411
568	541	410
569	542	409
570	543	407
571	543	406
572	544	405
573	545	404
574	545	403
575	546	402
576	547	401
577	548	400
578	549	399
579	550	398
580	550	397
581	551	396
582	552	395
583	553	394
584	553	392
585	554	391
586	555	390
587	556	389
588	556	388
589	557	387
590	558	386
591	559	385
592	560	384
593	560	383
594	561	382
595	562	381
596	563	380
597	564	379
598	565	378
599	565	377
600	566	376
601	567	374
602	567	373
603	568	372
604	569	371
605	570	370
606	571	369
607	571	368
608	572	367
609	573	366
610	573	365
611	574	364
612	575	363
613	575	362
614	576	361
615	577	359
616	578	359
617	579	357
618	579	356
619	580	355
620	581	354
621	582	353
622	582	352
623	583	351
624	584	350
625	585	349
626	585	348
627	586	347
628	587	346
629	588	345
630	589	344
631	589	343
632	590	342
633	590	341
634	591	340
635	592	338
636	593	337
637	593	336
638	594	335
639	595	334
640	596	333
641	596	332
642	597	331
643	598	330
644	598	329
645	599	328
646	602	328
647	603	327
648	604	326
649	604	325
650	605	324
651	606	323
652	607	322
653	608	321
654	609	320
655	609	319
656	610	318
657	611	317
658	611	316
659	612	315
660	613	314
661	614	313
662	615	312
663	615	311
664	617	311
665	618	310
666	618	309
667	619	307
668	620	306
669	621	305
670	621	304
671	622	303
672	623	302
673	623	301
674	624	300
675	625	299
676	626	298
677	627	297
678	628	296
679	628	295
680	629	294
681	630	293
682	630	292
683	631	291
684	632	291
685	633	290
686	634	289
687	635	288
688	636	287
689	636	286
690	637	285
691	638	284
692	639	283
693	640	282
694	641	281
695	641	280
696	642	279
697	643	278
698	643	277
699	644	276
700	645	275
701	647	274
702	648	273
703	648	272
704	649	271
705	650	270
706	650	269
707	651	268
708	652	267
709	652	266
710	653	265
711	654	264
712	654	263
713	655	262
714	656	261
715	657	260
716	657	259
717	658	258
718	659	257
719	660	257
720	661	256
721	662	255
722	663	254
723	664	253
724	664	252
725	665	251
726	666	250
727	667	249
728	668	248
729	668	247
730	669	246
731	670	245
732	671	244
733	672	243
734	673	242
735	674	241
736	675	240
737	675	239
738	677	239
739	678	238
740	679	237
741	679	236
742	680	235
743	681	234
744	682	233
745	683	232
746	684	231
747	685	230
748	686	230
749	687	229
750	687	228
751	688	227
752	689	226
753	689	225
754	690	224
755	691	223
756	692	222
757	692	221
758	693	220
759	694	219
760	694	218
761	695	217
762	696	216
763	696	215
764	697	214
765	698	213
766	698	212
767	699	211
768	700	210
769	700	209
770	701	208
771	702	207
772	703	206
773	704	205
774	704	204
775	705	203
776	706	202
777	706	201
778	707	200
779	708	199
780	709	198
781	709	197
782	710	196
783	711	195
784	711	194
785	712	193
786	713	193
787	713	192
788	714	191
789	715	190
790	715	189
791	716	188
792	717	187
793	718	186
794	718	185
795	719	184
796	720	183
797	720	182
798	721	181
799	722	180
800	722	179
801	723	178
802	724	177
803	724	176
804	725	175
805	726	174
806	726	173
807	727	172
808	728	171
809	729	171
810	729	170
811	730	169
812	731	168
813	731	167
814	732	166
815	733	165
816	733	164
817	734	163
818	735	162
819	736	161
820	736	160
821	737	159
822	738	158
823	738	157
824	739	156
825	740	155
826	740	154
827	741	154
828	742	153
829	742	152
830	743	151
831	744	150
832	744	149
833	745	148
834	746	147
835	746	146
836	747	145
837	748	144
838	749	143
839	749	142
840	750	141
841	751	140
842	751	140
843	752	139
844	753	138
845	753	137
846	754	136
847	755	135
848	756	134
849	756	133
850	757	132
851	758	131
852	759	130
853	759	129
854	760	128
855	761	128
856	762	127
857	762	126
858	763	125
859	764	124
860	764	123
861	765	122
862	766	121
863	766	120
864	767	119
865	768	118
866	769	117
867	769	117
868	770	116
869	771	115
870	771	114
871	772	113
872	773	112
873	773	111
874	774	110
875	775	109
876	776	108
877	777	107
878	777	107
879	778	106
880	779	105
881	780	104
882	780	103
883	781	102
884	782	101
885	782	100
886	783	99
887	784	98
888	785	98
889	785	97
890	786	96
891	787	95
892	787	94
893	788	93
894	789	92
895	790	91
896	791	90
897	791	89
898	792	89
899	793	88
900	794	87
901	795	86
902	796	85
903	797	84
904	797	83
905	798	82
906	799	81
907	800	81
908	801	80
909	801	79
910	802	78
911	803	77
912	803	76
913	804	75
914	805	74
915	806	73
916	807	73
917	808	72
918	808	71
919	809	70
920	810	69
921	811	68
922	811	67
923	812	66
924	813	65
925	813	65
926	814	64
927	815	63
928	815	62
929	816	61
930	817	60
931	818	59
932	819	58
933	820	57
934	820	57
935	821	56
936	822	55
937	822	54
938	823	53
939	824	52
940	825	51
941	826	50
942	826	49
943	827	49
944	828	48
945	828	47
946	829	46
947	830	45
948	831	44
949	831	43
950	832	42
951	833	42
952	834	41
953	834	40
954	835	39
955	836	38
956	837	37
957	837	36
958	838	35
959	839	34
960	840	34
961	840	33
962	841	32
963	842	31
964	842	30
965	843	29
966	844	28
967	844	27
968	845	27
969	846	26
970	846	25
971	847	24
972	848	23
973	849	22
974	849	21
975	850	20
976	851	20
977	852	19
978	853	18
979	853	17
980	854	16
981	855	15
982	856	14
983	856	13
984	857	13
985	858	12
986	859	11
987	859	10
988	860	9
989	861	8
990	861	7
991	862	6
992	863	6
993	864	5
994	864	4
995	865	3
996	866	2
997	867	1
998	868	0
999	868	0
