iter	Passed	Remaining
0	0	84
1	1	78
2	2	84
3	3	77
4	4	85
5	5	88
6	6	88
7	8	92
8	9	91
9	9	87
10	10	87
11	12	88
12	13	89
13	14	88
14	15	86
15	16	86
16	18	88
17	19	88
18	20	87
19	21	87
20	22	84
21	23	84
22	24	82
23	25	81
24	26	79
25	27	78
26	28	78
27	30	77
28	31	77
29	33	77
30	34	76
31	35	75
32	36	75
33	38	74
34	39	73
35	40	72
36	41	71
37	43	70
38	44	69
39	45	68
40	47	67
41	47	66
42	49	65
43	50	63
44	51	62
45	52	61
46	53	60
47	55	59
48	56	58
49	57	57
50	58	56
51	59	55
52	60	53
53	61	52
54	62	51
55	63	50
56	65	49
57	66	47
58	67	46
59	68	45
60	69	44
61	70	43
62	71	42
63	73	41
64	74	40
65	75	38
66	76	37
67	77	36
68	79	35
69	80	34
70	81	33
71	82	32
72	83	30
73	84	29
74	85	28
75	86	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	95	19
83	96	18
84	97	17
85	98	16
86	100	14
87	101	13
88	102	12
89	103	11
90	105	10
91	106	9
92	107	8
93	108	6
94	109	5
95	111	4
96	112	3
97	113	2
98	114	1
99	115	0
